date,open,high,low,close,volume
2020-12-02 10:33:00+05:30,1125.6,1125.6,1125.25,1125.3,9843
2020-12-02 10:34:00+05:30,1125.3,1125.3,1125,1125.2,11210
2020-12-02 10:35:00+05:30,1125.15,1126,1125.1,1126,8060
2020-12-02 10:36:00+05:30,1126,1126.7,1125.95,1126.1,10077
2020-12-02 10:37:00+05:30,1126.3,1130,1126.15,1130,45279
2020-12-02 10:38:00+05:30,1129.55,1130.65,1128.4,1128.4,45519
2020-12-02 10:39:00+05:30,1128.55,1129.9,1128.55,1129.2,21484
2020-12-02 10:40:00+05:30,1129.25,1129.3,1127.8,1128.05,18392
2020-12-02 10:41:00+05:30,1128.1,1129,1128.1,1128.85,10597
2020-12-02 10:42:00+05:30,1128.85,1129.5,1128.65,1129.35,10956
2020-12-02 10:43:00+05:30,1129.35,1129.45,1128.1,1128.1,9015
2020-12-02 10:44:00+05:30,1128.15,1129.15,1128.05,1128.75,15127
2020-12-02 10:45:00+05:30,1128.75,1129.65,1128.75,1129.25,11083
2020-12-02 10:46:00+05:30,1129.25,1129.25,1128.2,1128.45,5159
2020-12-02 10:47:00+05:30,1128.45,1128.45,1128,1128.05,9582
2020-12-02 10:48:00+05:30,1128.05,1129.5,1128,1129.2,11952
2020-12-02 10:49:00+05:30,1129.6,1129.75,1129.05,1129.2,11425
2020-12-02 10:50:00+05:30,1129.2,1129.5,1128.15,1128.7,8963
2020-12-02 10:51:00+05:30,1128.7,1129.4,1128.55,1129.35,8646
2020-12-02 10:52:00+05:30,1129.35,1129.5,1129,1129.25,2697
2020-12-02 10:53:00+05:30,1129,1129.25,1128.5,1128.75,6889
2020-12-02 10:54:00+05:30,1128.75,1128.75,1128.1,1128.4,6317
2020-12-02 10:55:00+05:30,1128.55,1128.9,1128.15,1128.45,5811
2020-12-02 10:56:00+05:30,1128.45,1128.75,1128.1,1128.15,6374
2020-12-02 10:57:00+05:30,1128.15,1128.35,1127.7,1127.75,7818
2020-12-02 10:58:00+05:30,1127.75,1128.6,1127.25,1128,13068
2020-12-02 10:59:00+05:30,1128.35,1128.35,1127.6,1128,7309
2020-12-02 11:00:00+05:30,1128,1128.35,1127.6,1127.7,9656
2020-12-02 11:01:00+05:30,1127.7,1127.75,1127,1127.2,8707
2020-12-02 11:02:00+05:30,1127.35,1127.6,1126.15,1126.4,10247
2020-12-02 11:03:00+05:30,1126.35,1126.6,1125.6,1125.85,11423
2020-12-02 11:04:00+05:30,1125.9,1126.2,1125.75,1125.95,5049
2020-12-02 11:05:00+05:30,1125.95,1126.4,1125.25,1126.3,9244
2020-12-02 11:06:00+05:30,1126.3,1126.3,1125.7,1125.9,6562
2020-12-02 11:07:00+05:30,1125.9,1125.9,1125.35,1125.35,5539
2020-12-02 11:08:00+05:30,1125.35,1125.65,1125.1,1125.55,7390
2020-12-02 11:09:00+05:30,1125.55,1126,1125.15,1125.6,5121
2020-12-02 11:10:00+05:30,1125.75,1125.75,1125.2,1125.3,5348
2020-12-02 11:11:00+05:30,1125.3,1126.2,1125.25,1125.95,6919
2020-12-02 11:12:00+05:30,1125.95,1125.95,1125.5,1125.75,4628
